;Comment
0;"Но так и не смог остальным объяснить, что он водитель ""скорой"" которую у него угнали."
1;Дык, он не на карточку, а в мозг грузил. На некоторых людей смотришь, и возникает подозрение, что у них и гига не наберётся...
2;Прост у них много битых секторов на диске.
3;Я почти уверен, что в моем мозгу и гигабайта памяти нет. Остальное забита такой хуитой, что и копаться в ней бесполезно.
4;Ни байта совести. (С)
5;Ща бы оперативу, частоту, количество ядер и программный код с объемом жёсткого диска путать.
6;Как китайские флешки на 512гб, в которые по факту 4 еле влазят)
7;И оперативы 32мб в ряд с процессором из кнопочного телефона.
8;У большинства проблемы не с ROM, a c RAM или процом
9;"Ну мы же в киберпанк играем. Если предположить, что карточку могут найти, отследить, просветить на рентгене - то 320 гигов в мозгу не так уж и бесполезно. Особенно, если учесть, что полезные данные обычно не так много весят. Ведь нет смысла перевозить в голове 4к-видеоролик с играющими котиками. А вот дамп базы паролей какой-нибудь соцсети - чо бы и нет. Если отрезать медиафайлы, вряд ли там много текста. 160 миллиардов символов. ""Война и Мир"" - 3 миллиона символов."
10;"я бы вшил себе в голову опыт своих работ. А то бывает надо что-то сделать. Вспоминаешь - я это делал всего месяц назад, ну какого чёрта я нихрена не помню?!
Ну или матан с теорвером и физикой с ВУЗа. Грустно в 33 года ощущать себя тупым и не помнить ничего из того, что когда-то хорошо знал. Блин, я в 20 лет знал на порядок больше, чем сейчас"
11;"- У моего начальник первый компьютер был слабее, чем мой первый смартфон :) Всё течёт, всё меняется. БГ когда-то говорил: «640 килобайт хватит всем».
- не сразу понял что речь о БГ из microsoft :)
- а для кого-то БГ — это Bill Gilbert =)
- О да! Легендарная личность. Кстати для некоторых БГ это Борис Гребенщиков. Я минуты 2 вспоминал в какой он песне спел «640 килобайт хватит всем» :)

https://bash.im/quote/399904"
12;"И тихо добавил: ""Если только мы не позаботимся об обратном""."
13;Ну в те времена 1 Гб эта цифра даже суперкомпьютерам не снилась.
14;Ну при желании укладываются и 640 кб, в микроконтроллерах бывает и по 64 байта памяти, и ничего, можно светофор какой-нибудь запрограммировать со всеми режимами и кнопками.
15;возможно джонни просто дешевле.
16;А теперь объясните: если есть сидишки на терабайт размером с фалангу пальца, нахера нужны большие компьютерные веники в домашних писи? Почему нынче стстемники не размером с мобилку?
17;"Флехи не предназначены для большого количества циклов чтения-записи.
А вот ССД предназначены. Их плата, кстати, внутри своего корпуса часто занимает меньший объем.
Кстати, системник с мобилку - это тот же Пай.
В общем и целом ответ на ваше ""почему"" - потому что производство конкурентноспособного компа ""с мобилку"" намного дороже, есть куча проблем с питанием и охлаждением, а так же порезанная производительность.
Хотите комп с мобилку - подключите к телефону монитор, мышь и клаву. :)"
18;Цена, как минимум (сорри за финский, но евро универсальны):
19;Мне одной кажется, что Киану себе кастрюлю на голову надевает?))
20;когда друг попросил скинуть 300гб порнухи
21;Так слева котики, а справа инфа страшная.
22;"Киану такой молодой
и юный Зион впереди"
23;ничё-ничё, скайнет пережили и не заметили даже судный день, и это переживем)
